2023.11.10 12:58:30 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.CeWorkerImpl] Executed task | project=VGF | type=REPORT | id=AYu5TyIloHkafef8rVWw | status=SUCCESS | time=55156ms
2023.11.10 13:03:06 INFO  ce[][o.s.c.t.CeWorkerImpl] Execute task | project=VGF | type=REPORT | id=AYu5VDMRoHkafef8rVWx
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Extract report | status=SUCCESS | time=935ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist scanner context | status=SUCCESS | time=6ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Propagate analysis warnings from scanner report | status=SUCCESS | time=2ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Execute DB migrations for current project | status=SUCCESS | time=4ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Generate analysis UUID | status=SUCCESS | time=0ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Load analysis metadata | status=SUCCESS | time=10ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Initialize | status=SUCCESS | time=0ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Verify billing | status=SUCCESS | time=0ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Build tree of components | components=2244 | status=SUCCESS | time=131ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Validate project | status=SUCCESS | time=3ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Load quality profiles | status=SUCCESS | time=71ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Load Quality gate | status=SUCCESS | time=4ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Load new code period | status=SUCCESS | time=2ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Detect file moves | reportFiles=1721 | dbFiles=2803 | addedFiles=0 | status=SUCCESS | time=20ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Load duplications | duplications=1561 | status=SUCCESS | time=32ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute cross project duplications | status=SUCCESS | time=0ms
2023.11.10 13:03:07 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute size measures | status=SUCCESS | time=63ms
2023.11.10 13:03:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute new coverage | status=SUCCESS | time=1425ms
2023.11.10 13:03:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute coverage measures | status=SUCCESS | time=132ms
2023.11.10 13:03:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute comment measures | status=SUCCESS | time=5ms
2023.11.10 13:03:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Copy custom measures | status=SUCCESS | time=1ms
2023.11.10 13:03:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute duplication measures | status=SUCCESS | time=7ms
2023.11.10 13:03:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute size measures on new code | status=SUCCESS | time=17ms
2023.11.10 13:03:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute language distribution | status=SUCCESS | time=17ms
2023.11.10 13:03:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute test measures | status=SUCCESS | time=3ms
2023.11.10 13:03:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Compute complexity measures | status=SUCCESS | time=7ms
